 ; nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:50 featSelect:featselp pca:0.95 pcadimension:2; nrTrObjectsPerClass:10 resizeSize:16 resizeMethod:bicubic thresholding:false nrFeatures:0 featSelect:0 pca:false pcadimension:0
rbsvc;0.69747;0.27687
svc*fishercc;0.66899;0.27717
 pksvc;0.62859;0.26919
svc;0.80606;0.24606
NN[4 4];0.8999;0.50071
NN[8 8];0.65616;0.31657
NN[16 16];0.60253;0.12939
NN[8 8 8];0.62949;0.26556
NN[12 12 12];0.62929;0.24323
NN[];0.61162;0.9
