"","classif","dist1","dist2","m","sd","n","ci","method","size"
"1","svc","minkowski","polynomial",0.290149333333333,0.0271964657542816,15,0.0583306177081955,"bicubic",6
"2","svc","minkowski","distance",0.242356666666667,0.0231938121879419,15,0.0497457796227636,"bicubic",6
"3","svc","minkowski","cosine",0.254026666666667,0.0200925710033288,15,0.0430942788139829,"bicubic",6
"4","svc","minkowski","radial_basis",0.262801333333333,0.0251919785608341,15,0.0540314202595876,"bicubic",6
"5","svc","polynomial","distance",0.355050666666667,0.0295072708876659,15,0.0632868017966504,"bicubic",6
"6","svc","polynomial","cosine",0.30062,0.0392624455245904,15,0.0842095704962394,"bicubic",6
"7","svc","polynomial","radial_basis",0.292384,0.0208421639265902,15,0.0447019957371513,"bicubic",6
"8","svc","distance","cosine",0.249696666666667,0.022159749762211,15,0.0475279362975798,"bicubic",6
"9","svc","distance","radial_basis",0.326456,0.0443579337081558,15,0.095138305720793,"bicubic",6
"10","svc","cosine","radial_basis",0.836148,0.0458572649175056,15,0.098354051339386,"bicubic",6
"11","rbsvc","minkowski","polynomial",NA,NA,15,NA,"bicubic",6
"12","rbsvc","minkowski","distance",NA,NA,15,NA,"bicubic",6
"13","rbsvc","minkowski","cosine",NA,NA,15,NA,"bicubic",6
"14","rbsvc","minkowski","radial_basis",NA,NA,15,NA,"bicubic",6
"15","rbsvc","polynomial","distance",NA,NA,15,NA,"bicubic",6
"16","rbsvc","polynomial","cosine",NA,NA,15,NA,"bicubic",6
"17","rbsvc","polynomial","radial_basis",NA,NA,15,NA,"bicubic",6
"18","rbsvc","distance","cosine",NA,NA,15,NA,"bicubic",6
"19","rbsvc","distance","radial_basis",NA,NA,15,NA,"bicubic",6
"20","rbsvc","cosine","radial_basis",NA,NA,15,NA,"bicubic",6
"21","pksvc","minkowski","polynomial",NA,NA,15,NA,"bicubic",6
"22","pksvc","minkowski","distance",NA,NA,15,NA,"bicubic",6
"23","pksvc","minkowski","cosine",NA,NA,15,NA,"bicubic",6
"24","pksvc","minkowski","radial_basis",NA,NA,15,NA,"bicubic",6
"25","pksvc","polynomial","distance",NA,NA,15,NA,"bicubic",6
"26","pksvc","polynomial","cosine",NA,NA,15,NA,"bicubic",6
"27","pksvc","polynomial","radial_basis",NA,NA,15,NA,"bicubic",6
"28","pksvc","distance","cosine",NA,NA,15,NA,"bicubic",6
"29","pksvc","distance","radial_basis",NA,NA,15,NA,"bicubic",6
"30","pksvc","cosine","radial_basis",NA,NA,15,NA,"bicubic",6
"31","qdc","minkowski","polynomial",0.9,0,15,0,"bicubic",6
"32","qdc","minkowski","distance",0.9,0,15,0,"bicubic",6
"33","qdc","minkowski","cosine",0.9,0,15,0,"bicubic",6
"34","qdc","minkowski","radial_basis",0.9,0,15,0,"bicubic",6
"35","qdc","polynomial","distance",0.9,0,15,0,"bicubic",6
"36","qdc","polynomial","cosine",0.9,0,15,0,"bicubic",6
"37","qdc","polynomial","radial_basis",0.9,0,15,0,"bicubic",6
"38","qdc","distance","cosine",0.9,0,15,0,"bicubic",6
