"","classif","dist","m","sd","n","ci","method","size"
"1","svc","minkowski",0.270490666666667,0.0267515319899538,15,0.0573763296934603,"Bicubic","10"
"2","svc","polynomial",0.311622666666667,0.0305359192396352,15,0.0654930330885027,"Bicubic","10"
"3","svc","distance",0.287245333333333,0.0305984343359186,15,0.0656271146348053,"Bicubic","10"
"4","svc","cosine",0.410673333333333,0.0444947243528724,15,0.0954316924746128,"Bicubic","10"
"5","svc","ndiff",0.896269333333333,0.00427234707436201,15,0.00916327313125623,"Bicubic","10"
"6","svc","sigmoid",0.899986666666667,5.16397779494265e-05,15,0.000110756308312961,"Bicubic","10"
"7","svc","radial_basis",0.822612,0.0412362463997738,15,0.0884429523379333,"Bicubic","10"
"8","qdc","minkowski",0.9,0,15,0,"Bicubic","10"
"9","qdc","polynomial",0.9,0,15,0,"Bicubic","10"
"10","qdc","distance",0.9,0,15,0,"Bicubic","10"
"11","qdc","cosine",0.9,0,15,0,"Bicubic","10"
"12","qdc","ndiff",0.9,0,15,0,"Bicubic","10"
"13","qdc","sigmoid",0.832962,0.0184494658072105,15,0.0395701686624997,"Bicubic","10"
"14","qdc","radial_basis",0.9,0,15,0,"Bicubic","10"
"15","parzen","minkowski",0.280796,0.00932178385748749,15,0.0199932379251862,"Bicubic","10"
"16","parzen","polynomial",0.366545333333333,0.0198781879264206,15,0.0426344728445154,"Bicubic","10"
"17","parzen","distance",0.271287333333333,0.0159542463969703,15,0.0342184552879824,"Bicubic","10"
"18","parzen","cosine",0.241872666666667,0.0139556263444772,15,0.0299318416051897,"Bicubic","10"
"19","parzen","ndiff",0.48598,0.0233857288594073,15,0.0501573999449119,"Bicubic","10"
"20","parzen","sigmoid",0.675024,0.0373952166154214,15,0.0802047627885584,"Bicubic","10"
"21","parzen","radial_basis",0.388376666666667,0.040557851920201,15,0.0869879408889887,"Bicubic","10"
"22","loglc","minkowski",0.269198,0.0118013922907426,15,0.0253114690840806,"Bicubic","10"
