"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"1","svc",0.65131,10,"10","bicubic","false","5","featselp",0,"Features"
"2","qdc",0.3698,10,"10","bicubic","false","5","featselp",0,"Features"
"3","parzen",0.5902,10,"10","bicubic","false","5","featselp",0,"Features"
"4","bpxnc",0.38848,10,"10","bicubic","false","5","featselp",0,"Features"
"5","loglc",0.32141,10,"10","bicubic","false","5","featselp",0,"Features"
"6","knnc",0.57152,10,"10","bicubic","false","5","featselp",0,"Features"
"7","treec",0.60202,10,"10","bicubic","false","5","featselp",0,"Features"
"8","svc",0.43141,10,"10","bicubic","false","5","featselp",0.95,"Features"
"9","qdc",0.3698,10,"10","bicubic","false","5","featselp",0.95,"Features"
"10","parzen",0.29828,10,"10","bicubic","false","5","featselp",0.95,"Features"
"11","bpxnc",0.35081,10,"10","bicubic","false","5","featselp",0.95,"Features"
"12","loglc",0.32141,10,"10","bicubic","false","5","featselp",0.95,"Features"
"13","knnc",0.31566,10,"10","bicubic","false","5","featselp",0.95,"Features"
"14","treec",0.61202,10,"10","bicubic","false","5","featselp",0.95,"Features"
"15","svc",0.50838,10,"10","bicubic","false","5","featselp",0.8,"Features"
"16","qdc",0.38818,10,"10","bicubic","false","5","featselp",0.8,"Features"
"17","parzen",0.33192,10,"10","bicubic","false","5","featselp",0.8,"Features"
"18","bpxnc",0.38788,10,"10","bicubic","false","5","featselp",0.8,"Features"
"19","loglc",0.35646,10,"10","bicubic","false","5","featselp",0.8,"Features"
"20","knnc",0.36051,10,"10","bicubic","false","5","featselp",0.8,"Features"
"21","treec",0.56677,10,"10","bicubic","false","5","featselp",0.8,"Features"
"22","svc",0.45838,10,"10","bicubic","false","20","featselp",0,"Features"
"23","qdc",0.54697,10,"10","bicubic","false","20","featselp",0,"Features"
"24","parzen",0.59343,10,"10","bicubic","false","20","featselp",0,"Features"
"25","bpxnc",0.31848,10,"10","bicubic","false","20","featselp",0,"Features"
"26","loglc",0.26566,10,"10","bicubic","false","20","featselp",0,"Features"
"27","knnc",0.4996,10,"10","bicubic","false","20","featselp",0,"Features"
"28","treec",0.63232,10,"10","bicubic","false","20","featselp",0,"Features"
"29","svc",0.19475,10,"10","bicubic","false","20","featselp",0.95,"Features"
"30","qdc",0.47061,10,"10","bicubic","false","20","featselp",0.95,"Features"
"31","parzen",0.15444,10,"10","bicubic","false","20","featselp",0.95,"Features"
"32","bpxnc",0.89232,10,"10","bicubic","false","20","featselp",0.95,"Features"
"33","loglc",0.2601,10,"10","bicubic","false","20","featselp",0.95,"Features"
"34","knnc",0.18061,10,"10","bicubic","false","20","featselp",0.95,"Features"
"35","treec",0.57283,10,"10","bicubic","false","20","featselp",0.95,"Features"
"36","svc",0.21071,10,"10","bicubic","false","20","featselp",0.8,"Features"
"37","qdc",0.47374,10,"10","bicubic","false","20","featselp",0.8,"Features"
"38","parzen",0.17343,10,"10","bicubic","false","20","featselp",0.8,"Features"
