"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"1","svc",0.27758,10,"10","bicubic","false","0","0",0,"Pixels"
"2","qdc",0.9,10,"10","bicubic","false","0","0",0,"Pixels"
"3","parzen",0.22768,10,"10","bicubic","false","0","0",0,"Pixels"
"4","bpxnc",0.42051,10,"10","bicubic","false","0","0",0,"Pixels"
"5","loglc",0.7797,10,"10","bicubic","false","0","0",0,"Pixels"
"6","knnc",0.22889,10,"10","bicubic","false","0","0",0,"Pixels"
"7","treec",NA,10,"10","bicubic","false","0","0",0,"Pixels"
"8","svc",0.24556,10,"10","bicubic","false","0","0",0.95,"Pixels"
"9","qdc",0.79081,10,"10","bicubic","false","0","0",0.95,"Pixels"
"10","parzen",0.25444,10,"10","bicubic","false","0","0",0.95,"Pixels"
"11","bpxnc",0.46566,10,"10","bicubic","false","0","0",0.95,"Pixels"
"12","loglc",0.31768,10,"10","bicubic","false","0","0",0.95,"Pixels"
"13","knnc",0.25323,10,"10","bicubic","false","0","0",0.95,"Pixels"
"14","treec",NA,10,"10","bicubic","false","0","0",0.95,"Pixels"
"15","svc",0.28434,10,"10","bicubic","false","0","0",0.8,"Pixels"
"16","qdc",0.55101,10,"10","bicubic","false","0","0",0.8,"Pixels"
"17","parzen",0.2396,10,"10","bicubic","false","0","0",0.8,"Pixels"
"18","bpxnc",0.3903,10,"10","bicubic","false","0","0",0.8,"Pixels"
"19","loglc",0.31343,10,"10","bicubic","false","0","0",0.8,"Pixels"
"20","knnc",0.24556,10,"10","bicubic","false","0","0",0.8,"Pixels"
"21","treec",NA,10,"10","bicubic","false","0","0",0.8,"Pixels"
"22","svc",0.35788,10,"10","bicubic","true","0","0",0,"Pixels"
"23","qdc",0.9,10,"10","bicubic","true","0","0",0,"Pixels"
"24","parzen",0.31232,10,"10","bicubic","true","0","0",0,"Pixels"
"25","bpxnc",0.54465,10,"10","bicubic","true","0","0",0,"Pixels"
"26","loglc",0.82778,10,"10","bicubic","true","0","0",0,"Pixels"
"27","knnc",0.32283,10,"10","bicubic","true","0","0",0,"Pixels"
"28","treec",NA,10,"10","bicubic","true","0","0",0,"Pixels"
"29","svc",0.30838,10,"10","bicubic","true","0","0",0.95,"Pixels"
"30","qdc",0.88737,10,"10","bicubic","true","0","0",0.95,"Pixels"
"31","parzen",0.35141,10,"10","bicubic","true","0","0",0.95,"Pixels"
"32","bpxnc",0.52586,10,"10","bicubic","true","0","0",0.95,"Pixels"
"33","loglc",0.41879,10,"10","bicubic","true","0","0",0.95,"Pixels"
"34","knnc",0.34051,10,"10","bicubic","true","0","0",0.95,"Pixels"
"35","treec",NA,10,"10","bicubic","true","0","0",0.95,"Pixels"
"36","svc",0.33313,10,"10","bicubic","true","0","0",0.8,"Pixels"
"37","qdc",0.74586,10,"10","bicubic","true","0","0",0.8,"Pixels"
"38","parzen",0.33242,10,"10","bicubic","true","0","0",0.8,"Pixels"
"39","bpxnc",0.57455,10,"10","bicubic","true","0","0",0.8,"Pixels"
"40","loglc",0.35212,10,"10","bicubic","true","0","0",0.8,"Pixels"
"41","knnc",0.32313,10,"10","bicubic","true","0","0",0.8,"Pixels"
"42","treec",NA,10,"10","bicubic","true","0","0",0.8,"Pixels"
"43","svc",0.29606,10,"10","bilinear","false","0","0",0,"Pixels"
