"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"1","svc",0.74515,10,"16","bicubic","false","5","featselp",0,"Features"
"2","qdc",0.62192,10,"16","bicubic","false","5","featselp",0,"Features"
"3","parzen",0.4498,10,"16","bicubic","false","5","featselp",0,"Features"
"4","bpxnc",0.46071,10,"16","bicubic","false","5","featselp",0,"Features"
"5","loglc",0.35364,10,"16","bicubic","false","5","featselp",0,"Features"
"6","knnc",0.34556,10,"16","bicubic","false","5","featselp",0,"Features"
"7","treec",NA,10,"16","bicubic","false","5","featselp",0,"Features"
"8","svc",0.39737,10,"16","bicubic","false","5","featselp",0.95,"Features"
"9","qdc",0.62586,10,"16","bicubic","false","5","featselp",0.95,"Features"
"10","parzen",0.32626,10,"16","bicubic","false","5","featselp",0.95,"Features"
"11","bpxnc",0.41343,10,"16","bicubic","false","5","featselp",0.95,"Features"
"12","loglc",0.35364,10,"16","bicubic","false","5","featselp",0.95,"Features"
"13","knnc",0.33606,10,"16","bicubic","false","5","featselp",0.95,"Features"
"14","treec",NA,10,"16","bicubic","false","5","featselp",0.95,"Features"
"15","svc",0.44333,10,"16","bicubic","false","5","featselp",0.8,"Features"
"16","qdc",0.40333,10,"16","bicubic","false","5","featselp",0.8,"Features"
"17","parzen",0.33424,10,"16","bicubic","false","5","featselp",0.8,"Features"
"18","bpxnc",0.3904,10,"16","bicubic","false","5","featselp",0.8,"Features"
"19","loglc",0.36232,10,"16","bicubic","false","5","featselp",0.8,"Features"
"20","knnc",0.35172,10,"16","bicubic","false","5","featselp",0.8,"Features"
"21","treec",NA,10,"16","bicubic","false","5","featselp",0.8,"Features"
"22","svc",0.35727,10,"16","bicubic","false","20","featselp",0,"Features"
"23","qdc",0.47111,10,"16","bicubic","false","20","featselp",0,"Features"
"24","parzen",0.68374,10,"16","bicubic","false","20","featselp",0,"Features"
"25","bpxnc",0.26152,10,"16","bicubic","false","20","featselp",0,"Features"
"26","loglc",0.18182,10,"16","bicubic","false","20","featselp",0,"Features"
"27","knnc",0.61616,10,"16","bicubic","false","20","featselp",0,"Features"
"28","treec",NA,10,"16","bicubic","false","20","featselp",0,"Features"
"29","svc",0.16677,10,"16","bicubic","false","20","featselp",0.95,"Features"
"30","qdc",0.46313,10,"16","bicubic","false","20","featselp",0.95,"Features"
"31","parzen",0.13808,10,"16","bicubic","false","20","featselp",0.95,"Features"
"32","bpxnc",0.25727,10,"16","bicubic","false","20","featselp",0.95,"Features"
"33","loglc",0.18879,10,"16","bicubic","false","20","featselp",0.95,"Features"
"34","knnc",0.15303,10,"16","bicubic","false","20","featselp",0.95,"Features"
"35","treec",NA,10,"16","bicubic","false","20","featselp",0.95,"Features"
"36","svc",0.20071,10,"16","bicubic","false","20","featselp",0.8,"Features"
"37","qdc",0.40535,10,"16","bicubic","false","20","featselp",0.8,"Features"
"38","parzen",0.18414,10,"16","bicubic","false","20","featselp",0.8,"Features"
"39","bpxnc",0.24636,10,"16","bicubic","false","20","featselp",0.8,"Features"
"40","loglc",0.20505,10,"16","bicubic","false","20","featselp",0.8,"Features"
"41","knnc",0.20222,10,"16","bicubic","false","20","featselp",0.8,"Features"
"42","treec",NA,10,"16","bicubic","false","20","featselp",0.8,"Features"
"43","svc",0.31697,10,"16","bicubic","false","50","featselp",0,"Features"
"44","qdc",0.48919,10,"16","bicubic","false","50","featselp",0,"Features"
"45","parzen",0.53505,10,"16","bicubic","false","50","featselp",0,"Features"
"46","bpxnc",0.18758,10,"16","bicubic","false","50","featselp",0,"Features"
"47","loglc",0.19283,10,"16","bicubic","false","50","featselp",0,"Features"
"48","knnc",0.52889,10,"16","bicubic","false","50","featselp",0,"Features"
"49","treec",NA,10,"16","bicubic","false","50","featselp",0,"Features"
"50","svc",0.11081,10,"16","bicubic","false","50","featselp",0.95,"Features"
"51","qdc",0.57879,10,"16","bicubic","false","50","featselp",0.95,"Features"
"52","parzen",0.10687,10,"16","bicubic","false","50","featselp",0.95,"Features"
"53","bpxnc",0.27515,10,"16","bicubic","false","50","featselp",0.95,"Features"
"54","loglc",0.15162,10,"16","bicubic","false","50","featselp",0.95,"Features"
"55","knnc",0.12152,10,"16","bicubic","false","50","featselp",0.95,"Features"
"56","treec",NA,10,"16","bicubic","false","50","featselp",0.95,"Features"
"57","svc",0.12343,10,"16","bicubic","false","50","featselp",0.8,"Features"
"58","qdc",0.37273,10,"16","bicubic","false","50","featselp",0.8,"Features"
"59","parzen",0.10657,10,"16","bicubic","false","50","featselp",0.8,"Features"
"60","bpxnc",0.21475,10,"16","bicubic","false","50","featselp",0.8,"Features"
"61","loglc",0.13717,10,"16","bicubic","false","50","featselp",0.8,"Features"
"62","knnc",0.12364,10,"16","bicubic","false","50","featselp",0.8,"Features"
"63","treec",NA,10,"16","bicubic","false","50","featselp",0.8,"Features"
"64","svc",0.25576,10,"16","bicubic","false","0","none",0,"Features"
"65","qdc",0.9,10,"16","bicubic","false","0","none",0,"Features"
"66","parzen",0.9,10,"16","bicubic","false","0","none",0,"Features"
"67","bpxnc",0.34505,10,"16","bicubic","false","0","none",0,"Features"
"68","loglc",0.086869,10,"16","bicubic","false","0","none",0,"Features"
"69","knnc",0.45192,10,"16","bicubic","false","0","none",0,"Features"
"70","treec",NA,10,"16","bicubic","false","0","none",0,"Features"
"71","svc",0.26707,10,"16","bicubic","false","75","featselp",0,"Features"
"72","qdc",0.85788,10,"16","bicubic","false","75","featselp",0,"Features"
"73","parzen",0.46515,10,"16","bicubic","false","75","featselp",0,"Features"
"74","bpxnc",0.2398,10,"16","bicubic","false","75","featselp",0,"Features"
"75","loglc",0.23949,10,"16","bicubic","false","75","featselp",0,"Features"
"76","knnc",0.40061,10,"16","bicubic","false","75","featselp",0,"Features"
"77","fisherc",0.36747,10,"16","bicubic","false","75","featselp",0,"Features"
"78","svc",0.80535,10,"16","bicubic","false","75","featselp",0.95,"Features"
"79","qdc",0.54455,10,"16","bicubic","false","75","featselp",0.95,"Features"
"80","parzen",0.55323,10,"16","bicubic","false","75","featselp",0.95,"Features"
"81","bpxnc",0.58253,10,"16","bicubic","false","75","featselp",0.95,"Features"
"82","loglc",0.54535,10,"16","bicubic","false","75","featselp",0.95,"Features"
"83","knnc",0.57172,10,"16","bicubic","false","75","featselp",0.95,"Features"
"84","fisherc",0.60939,10,"16","bicubic","false","75","featselp",0.95,"Features"
"85","svc",0.80535,10,"16","bicubic","false","75","featselp",0.9,"Features"
"86","qdc",0.54455,10,"16","bicubic","false","75","featselp",0.9,"Features"
"87","parzen",0.55323,10,"16","bicubic","false","75","featselp",0.9,"Features"
"88","bpxnc",0.58808,10,"16","bicubic","false","75","featselp",0.9,"Features"
"89","loglc",0.54535,10,"16","bicubic","false","75","featselp",0.9,"Features"
"90","knnc",0.57172,10,"16","bicubic","false","75","featselp",0.9,"Features"
"91","fisherc",0.60939,10,"16","bicubic","false","75","featselp",0.9,"Features"
"92","svc",0.80535,10,"16","bicubic","false","75","featselp",0.85,"Features"
"93","qdc",0.54455,10,"16","bicubic","false","75","featselp",0.85,"Features"
"94","parzen",0.55323,10,"16","bicubic","false","75","featselp",0.85,"Features"
"95","bpxnc",0.58596,10,"16","bicubic","false","75","featselp",0.85,"Features"
"96","loglc",0.54535,10,"16","bicubic","false","75","featselp",0.85,"Features"
"97","knnc",0.57172,10,"16","bicubic","false","75","featselp",0.85,"Features"
"98","fisherc",0.60939,10,"16","bicubic","false","75","featselp",0.85,"Features"
"99","svc",0.80535,10,"16","bicubic","false","75","featselp",0.8,"Features"
"100","qdc",0.54455,10,"16","bicubic","false","75","featselp",0.8,"Features"
"101","parzen",0.55323,10,"16","bicubic","false","75","featselp",0.8,"Features"
"102","bpxnc",0.60253,10,"16","bicubic","false","75","featselp",0.8,"Features"
"103","loglc",0.54535,10,"16","bicubic","false","75","featselp",0.8,"Features"
"104","knnc",0.57172,10,"16","bicubic","false","75","featselp",0.8,"Features"
"105","fisherc",0.60939,10,"16","bicubic","false","75","featselp",0.8,"Features"
"106","svc",0.81333,10,"16","bicubic","false","75","featselp",0.7,"Features"
"107","qdc",0.71636,10,"16","bicubic","false","75","featselp",0.7,"Features"
"108","parzen",0.74222,10,"16","bicubic","false","75","featselp",0.7,"Features"
"109","bpxnc",0.74071,10,"16","bicubic","false","75","featselp",0.7,"Features"
"110","loglc",0.71596,10,"16","bicubic","false","75","featselp",0.7,"Features"
"111","knnc",0.74667,10,"16","bicubic","false","75","featselp",0.7,"Features"
"112","fisherc",0.74636,10,"16","bicubic","false","75","featselp",0.7,"Features"
"113","svc",0.25444,10,"16","bicubic","false","100","featselp",0,"Features"
"114","qdc",0.9,10,"16","bicubic","false","100","featselp",0,"Features"
"115","parzen",0.56495,10,"16","bicubic","false","100","featselp",0,"Features"
"116","bpxnc",0.23747,10,"16","bicubic","false","100","featselp",0,"Features"
"117","loglc",0.76303,10,"16","bicubic","false","100","featselp",0,"Features"
"118","knnc",0.43909,10,"16","bicubic","false","100","featselp",0,"Features"
"119","fisherc",0.75313,10,"16","bicubic","false","100","featselp",0,"Features"
"120","svc",0.65596,10,"16","bicubic","false","100","featselp",0.95,"Features"
"121","qdc",0.54646,10,"16","bicubic","false","100","featselp",0.95,"Features"
"122","parzen",0.56131,10,"16","bicubic","false","100","featselp",0.95,"Features"
"123","bpxnc",0.51101,10,"16","bicubic","false","100","featselp",0.95,"Features"
"124","loglc",0.53091,10,"16","bicubic","false","100","featselp",0.95,"Features"
"125","knnc",0.58576,10,"16","bicubic","false","100","featselp",0.95,"Features"
"126","fisherc",0.5596,10,"16","bicubic","false","100","featselp",0.95,"Features"
"127","svc",0.75354,10,"16","bicubic","false","100","featselp",0.9,"Features"
"128","qdc",0.59424,10,"16","bicubic","false","100","featselp",0.9,"Features"
"129","parzen",0.59556,10,"16","bicubic","false","100","featselp",0.9,"Features"
"130","bpxnc",0.72232,10,"16","bicubic","false","100","featselp",0.9,"Features"
"131","loglc",0.6298,10,"16","bicubic","false","100","featselp",0.9,"Features"
"132","knnc",0.60758,10,"16","bicubic","false","100","featselp",0.9,"Features"
"133","fisherc",0.65455,10,"16","bicubic","false","100","featselp",0.9,"Features"
"134","svc",0.75354,10,"16","bicubic","false","100","featselp",0.85,"Features"
"135","qdc",0.59424,10,"16","bicubic","false","100","featselp",0.85,"Features"
"136","parzen",0.59556,10,"16","bicubic","false","100","featselp",0.85,"Features"
"137","bpxnc",0.61354,10,"16","bicubic","false","100","featselp",0.85,"Features"
"138","loglc",0.6298,10,"16","bicubic","false","100","featselp",0.85,"Features"
"139","knnc",0.60758,10,"16","bicubic","false","100","featselp",0.85,"Features"
"140","fisherc",0.65455,10,"16","bicubic","false","100","featselp",0.85,"Features"
"141","svc",0.75354,10,"16","bicubic","false","100","featselp",0.8,"Features"
"142","qdc",0.59424,10,"16","bicubic","false","100","featselp",0.8,"Features"
"143","parzen",0.59556,10,"16","bicubic","false","100","featselp",0.8,"Features"
"144","bpxnc",0.62465,10,"16","bicubic","false","100","featselp",0.8,"Features"
"145","loglc",0.6298,10,"16","bicubic","false","100","featselp",0.8,"Features"
"146","knnc",0.60758,10,"16","bicubic","false","100","featselp",0.8,"Features"
"147","fisherc",0.65455,10,"16","bicubic","false","100","featselp",0.8,"Features"
"148","svc",0.82212,10,"16","bicubic","false","100","featselp",0.7,"Features"
"149","qdc",0.73859,10,"16","bicubic","false","100","featselp",0.7,"Features"
"150","parzen",0.72586,10,"16","bicubic","false","100","featselp",0.7,"Features"
"151","bpxnc",0.74465,10,"16","bicubic","false","100","featselp",0.7,"Features"
"152","loglc",0.73152,10,"16","bicubic","false","100","featselp",0.7,"Features"
"153","knnc",0.74121,10,"16","bicubic","false","100","featselp",0.7,"Features"
"154","fisherc",0.74343,10,"16","bicubic","false","100","featselp",0.7,"Features"
"155","svc",0.41363,200,"16","bicubic","false","5","featselp",0,"Features"
"156","qdc",0.57187,200,"16","bicubic","false","5","featselp",0,"Features"
"157","parzen",0.29588,200,"16","bicubic","false","5","featselp",0,"Features"
"158","bpxnc",0.28087,200,"16","bicubic","false","5","featselp",0,"Features"
"159","loglc",0.282,200,"16","bicubic","false","5","featselp",0,"Features"
"160","knnc",0.26275,200,"16","bicubic","false","5","featselp",0,"Features"
"161","treec",NA,200,"16","bicubic","false","5","featselp",0,"Features"
"162","svc",0.30425,200,"16","bicubic","false","5","featselp",0.95,"Features"
"163","qdc",0.57112,200,"16","bicubic","false","5","featselp",0.95,"Features"
"164","parzen",0.265,200,"16","bicubic","false","5","featselp",0.95,"Features"
"165","bpxnc",0.273,200,"16","bicubic","false","5","featselp",0.95,"Features"
"166","loglc",0.282,200,"16","bicubic","false","5","featselp",0.95,"Features"
"167","knnc",0.258,200,"16","bicubic","false","5","featselp",0.95,"Features"
"168","treec",NA,200,"16","bicubic","false","5","featselp",0.95,"Features"
"169","svc",0.33963,200,"16","bicubic","false","5","featselp",0.8,"Features"
"170","qdc",0.29475,200,"16","bicubic","false","5","featselp",0.8,"Features"
"171","parzen",0.27525,200,"16","bicubic","false","5","featselp",0.8,"Features"
"172","bpxnc",0.27013,200,"16","bicubic","false","5","featselp",0.8,"Features"
"173","loglc",0.32213,200,"16","bicubic","false","5","featselp",0.8,"Features"
"174","knnc",0.27138,200,"16","bicubic","false","5","featselp",0.8,"Features"
"175","treec",NA,200,"16","bicubic","false","5","featselp",0.8,"Features"
"176","svc",0.138,200,"16","bicubic","false","20","featselp",0,"Features"
"177","qdc",0.10913,200,"16","bicubic","false","20","featselp",0,"Features"
"178","parzen",0.50088,200,"16","bicubic","false","20","featselp",0,"Features"
"179","bpxnc",0.08925,200,"16","bicubic","false","20","featselp",0,"Features"
"180","loglc",0.077,200,"16","bicubic","false","20","featselp",0,"Features"
"181","knnc",0.38613,200,"16","bicubic","false","20","featselp",0,"Features"
"182","treec",NA,200,"16","bicubic","false","20","featselp",0,"Features"
"183","svc",0.089625,200,"16","bicubic","false","20","featselp",0.95,"Features"
"184","qdc",0.0875,200,"16","bicubic","false","20","featselp",0.95,"Features"
"185","parzen",0.078375,200,"16","bicubic","false","20","featselp",0.95,"Features"
"186","bpxnc",0.10375,200,"16","bicubic","false","20","featselp",0.95,"Features"
"187","loglc",0.086875,200,"16","bicubic","false","20","featselp",0.95,"Features"
"188","knnc",0.07775,200,"16","bicubic","false","20","featselp",0.95,"Features"
"189","treec",NA,200,"16","bicubic","false","20","featselp",0.95,"Features"
"190","svc",0.11475,200,"16","bicubic","false","20","featselp",0.8,"Features"
"191","qdc",0.10163,200,"16","bicubic","false","20","featselp",0.8,"Features"
